addr,n,hold_med,train_pnl,hold_pnl,sharpe,t_stat,top_coin
0x4a0b172b1f5bb70746c01583abcf2cb915e6e13a,360,1424.16925,8394.439674,2454.18799601,5.7537528823693815,3.730797451693656,ETH
0x1308c4351f76cc1c7abe61a9262708d9e36e4920,873,387.3689,8693.1604146,8204.62108,5.7495809206827335,4.286181967880104,JUP
0x972d521729c0d07b360ae470f03878fe405f0650,1905,1092.3925333333334,40964.75695109,46509.52008209,5.74188555816561,4.691175032596682,TAO
0x467c1605f97c84203c60c719edcd005d3cb90f14,294,1136.7862333333333,14132.974965,10984.999330999999,5.706443186817704,3.01385193922934,SOL
0x4369cbf57ef3bfd3cd7092c461a57290617bc54b,3640,1289.1265833333334,50560.12267,16593.103263,5.655843869905063,2.4177065622482603,xyz:NVDA
0x539c44a05820f6b9e131f2e4078e22f6e90bf7fc,2229,2356.647841666667,68842.30252068,1109.58741011,5.59962116144437,6.135457560615726,PUMP
0xf2704e08a4d989f76171c9389665e77c870345a7,6683,575.8423,38055.56039614,28507.995354,5.568103110718019,2.7806969411613074,BTC
0xdd6e2b9d2d1b872286352ef30ace6efd40e1ea86,558,2529.679,977.01117474,5485.77019547,5.552981782853803,5.013964887990398,HYPE
0x6cc021e2f5e8f12d65c860df5c63f152c4e763e1,5016,231.87155,66047.43138231,145427.21258008,5.507489504236801,4.032140805845387,xyz:CL
0x997ba795a5d12481eb772297405038535dd98988,262,112.778075,8658.14979233,15847.28814487,5.338471113930798,6.079653111395951,@107
0xed1c710ad28e9aca013178a4e8d43a580b4b0dbf,1177,1443.2637083333334,9752.413161,3162.14914715,5.3218711768707125,2.327484306630594,HYPE
0x26fe122cc2322fbef86a68d19218500fb3e7b7e5,494,741.0505916666666,45267.483668,13292.699286000001,5.287943300683381,2.946676655096176,BTC
0xbb10b9cae272b96483567686f21aa37b67ee5304,1270,1437.7156,10728.34490013,22771.8862955,5.2777867859813234,5.621058325851864,ZEC
